ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,hour,month,day_name,year,Crime_Severity_Score,Crime_Type_Code,KMeans_Cluster,DBSCAN_Cluster,HC_Cluster,Temporal_cluster,TSNE_1,TSNE_2
14018410,JJ476565,2025-11-03 22:33:00,070XX N ROCKWELL ST,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,STREET,1,0,2411,24,50,2,18,1157742.0,1946461.0,2025,11/11/2025 03:41:33 PM,42.008847849,-87.694968647,"(42.008847849, -87.694968647)",22,11,0,2025,1,16,3,-1,2,3,80.303276,-28.736917
14018397,JJ476498,2025-11-03 22:31:00,122XX S RACINE AVE,0460,BATTERY,SIMPLE,RESIDENCE,0,0,524,5,21,53,08B,1170548.0,1823603.0,2025,11/11/2025 03:41:33 PM,41.671442829,-87.651440734,"(41.671442829, -87.651440734)",22,11,0,2025,3,2,2,-1,0,3,55.982197,-69.45221
14018494,JJ476506,2025-11-03 22:30:00,080XX S KNOX AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,0,1,834,8,18,70,06,1147050.0,1850918.0,2025,11/11/2025 03:41:33 PM,41.746878696,-87.736751263,"(41.746878696, -87.736751263)",22,11,0,2025,2,26,0,-1,1,3,69.70123,-35.417385
14018634,JJ476854,2025-11-03 22:30:00,067XX S CONSTANCE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,332,3,5,43,14,1189697.0,1860754.0,2025,11/11/2025 03:41:33 PM,41.772951871,-87.580167052,"(41.772951871, -87.580167052)",22,11,0,2025,3,5,2,-1,0,3,53.268192,-71.5002
14018800,JJ477033,2025-11-03 22:30:00,009XX E 84TH ST,0710,THEFT,THEFT FROM MOTOR VEHICLE,VEHICLE NON-COMMERCIAL,0,0,632,6,8,44,06,1184182.0,1849493.0,2025,11/11/2025 03:41:33 PM,41.742181321,-87.600734892,"(41.742181321, -87.600734892)",22,11,0,2025,2,26,2,-1,0,3,73.334175,-40.189484
14018373,JJ476494,2025-11-03 22:25:00,006XX E 130TH PL,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,CHA PARKING LOT / GROUNDS,1,0,533,5,10,54,15,1183174.0,1819030.0,2025,11/11/2025 03:41:33 PM,41.658610386,-87.605371581,"(41.658610386, -87.605371581)",22,11,0,2025,3,27,3,-1,2,3,74.23901,-42.900776
14024131,JJ483038,2025-11-03 22:20:00,024XX W ARMITAGE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,0,0,1434,14,1,22,06,1159572.0,1913207.0,2025,11/11/2025 03:41:33 PM,41.917559503,-87.689155396,"(41.917559503, -87.689155396)",22,11,0,2025,2,26,2,-1,0,3,62.60623,-31.407429
14018469,JJ476516,2025-11-03 22:17:00,079XX S ASHLAND AVE,031A,ROBBERY,ARMED - HANDGUN,GAS STATION,0,0,611,6,17,71,03,1167051.0,1852166.0,2025,11/11/2025 03:41:33 PM,41.749899475,-87.663426378,"(41.749899475, -87.663426378)",22,11,0,2025,3,23,2,-1,0,3,75.7125,-45.220417
14018404,JJ476539,2025-11-03 22:15:00,058XX N RIDGE AVE,0460,BATTERY,SIMPLE,NURSING / RETIREMENT HOME,0,0,2013,20,48,77,08B,1165024.0,1939181.0,2025,11/11/2025 03:41:33 PM,41.988719229,-87.668384208,"(41.988719229, -87.668384208)",22,11,0,2025,3,2,2,-1,0,3,62.23858,-59.760754
14018387,JJ476487,2025-11-03 22:14:00,006XX W IRVING PARK RD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,1,0,1925,19,46,6,15,1170901.0,1926795.0,2025,11/11/2025 03:41:33 PM,41.954604493,-87.647132951,"(41.954604493, -87.647132951)",22,11,0,2025,3,27,3,-1,2,3,53.614994,-35.0101
